Date,Ibovespa,Dolar,corr_movel
2007-05-17,51631.0,1.9606000185012817,-0.8284372455505136
2007-05-18,52078.0,1.9601000547409058,-0.8334426777739309
2007-05-21,52423.0,1.940000057220459,-0.8377126142383586
2007-05-22,52208.0,1.9350999593734741,-0.841437935425375
2007-05-23,51813.0,1.9383000135421753,-0.8448885117195334
2007-05-24,50531.0,1.961899995803833,-0.8471353861824499
2007-05-25,51618.0,1.9424999952316284,-0.8497935359075235
2007-05-28,52120.0,1.9424999952316284,-0.8525729152877238
2007-05-29,51713.0,1.9452999830245972,-0.8565819912919973
2007-05-30,52528.0,1.9450000524520874,-0.859084778313223
2007-05-31,52268.0,1.919100046157837,-0.8658970826660167
2007-06-01,53423.0,1.9002000093460083,-0.8763714094328885
2007-06-04,53243.0,1.9368000030517578,-0.8806629459381463
2007-06-05,53162.0,1.9368000030517578,-0.8838146577607826
2007-06-06,52049.0,1.96589994430542,-0.8879851720721424
2007-06-08,52330.0,1.9631999731063843,-0.8917552524442368
2007-06-11,52777.0,1.9394999742507935,-0.8953702418401623
2007-06-12,51797.0,1.9362000226974487,-0.8994687769127736
2007-06-13,52994.0,1.9448000192642212,-0.9028410484069759
2007-06-14,53713.0,1.9276000261306763,-0.905559820076251
2007-06-15,54519.0,1.906999945640564,-0.9072973396998409
2007-06-18,54730.0,1.8997999429702759,-0.9098601043777296
2007-06-19,54644.0,1.8982000350952148,-0.9113845803363715
2007-06-20,54029.0,1.9140000343322754,-0.9121134351942995
2007-06-21,54657.0,1.9170000553131104,-0.9130665914960537
2007-06-22,54267.0,1.9199999570846558,-0.9137869757374888
2007-06-25,54042.0,1.9333000183105469,-0.914564558709564
2007-06-26,53852.0,1.940500020980835,-0.915117536304429
2007-06-27,54143.0,1.9474999904632568,-0.9155331899664212
2007-06-28,54147.0,1.9208999872207642,-0.9161979990514237
2007-06-29,54392.0,1.9276000261306763,-0.9168316116980583
2007-07-02,55371.0,1.912500023841858,-0.9177849897362405
2007-07-03,55700.0,1.910099983215332,-0.9186974806606217
2007-07-04,55696.0,1.9041999578475952,-0.9195303888153389
2007-07-05,55932.0,1.9103000164031982,-0.9204037864759423
2007-07-06,56444.0,1.8977999687194824,-0.9216140150864957
2007-07-10,55883.0,1.8878999948501587,-0.9229770736151175
2007-07-11,56356.0,1.8860000371932983,-0.9243825053311516
2007-07-12,57613.0,1.8730000257492065,-0.9259324473023289
2007-07-13,57644.0,1.868899941444397,-0.9272025206951628
2007-07-16,57374.0,1.8659000396728516,-0.9284050320949565
2007-07-17,57660.0,1.8609000444412231,-0.9298333483479795
2007-07-18,57556.0,1.854200005531311,-0.9311143458419241
2007-07-19,58125.0,1.8509999513626099,-0.9322793336670718
2007-07-20,57443.0,1.8588000535964966,-0.933196022002714
2007-07-23,58037.0,1.8385000228881836,-0.9339549496841606
2007-07-24,55795.0,1.845900058746338,-0.9371409067054606
2007-07-25,56001.0,1.8658000230789185,-0.9373966327758823
2007-07-26,53893.0,1.892799973487854,-0.9374348645421228
2007-07-27,52922.0,1.9134999513626099,-0.9373972729107429
2007-07-30,54573.0,1.8835999965667725,-0.9376403058772868
2007-07-31,54183.0,1.8654999732971191,-0.9373637844542069
2007-08-01,54234.0,1.8779000043869019,-0.9373139955443702
2007-08-02,54691.0,1.8659000396728516,-0.9371734569400145
2007-08-03,52846.0,1.875,-0.93636739360328
2007-08-06,53091.0,1.895900011062622,-0.9361815070535939
2007-08-07,53802.0,1.9033000469207764,-0.9363301780794043
2007-08-08,55241.0,1.8823000192642212,-0.9367125891470822
2007-08-09,53431.0,1.9113999605178833,-0.9367563247546095
2007-08-10,52638.0,1.937999963760376,-0.9368234554057322
2007-08-13,52434.0,1.9347000122070312,-0.9368072600168814
2007-08-14,50912.0,1.9723999500274658,-0.9367325963082083
2007-08-15,49285.0,1.992900013923645,-0.9365061095795786
2007-08-16,48016.0,2.1024999618530273,-0.9348514466672265
2007-08-17,48559.0,2.0285000801086426,-0.9346537000917998
2007-08-20,49206.0,2.0329999923706055,-0.9343369232254316
2007-08-21,49815.0,2.0253000259399414,-0.9341648080133761
2007-08-22,51745.0,2.0100998878479004,-0.9339958087253117
2007-08-23,51848.0,1.996000051498413,-0.9341123920053176
2007-08-24,52998.0,1.9718999862670898,-0.9400160963231992
2007-08-27,53078.0,1.9520000219345093,-0.9408341041817366
2007-08-28,51645.0,1.9833999872207642,-0.9410283808575223
2007-08-29,52735.0,1.9710999727249146,-0.9416542490998285
2007-08-30,52858.0,1.9630999565124512,-0.9424975398528102
2007-08-31,54637.0,1.9631999731063843,-0.9437274390524834
2007-09-03,54833.0,1.9510999917984009,-0.9441274206052148
2007-09-04,55250.0,1.94350004196167,-0.9445408079443143
2007-09-05,54408.0,1.965399980545044,-0.9448661343892357
2007-09-06,54569.0,1.9467999935150146,-0.9456408174606531
2007-09-11,53921.0,1.9244999885559082,-0.9470411889973669
2007-09-12,53883.0,1.9040000438690186,-0.9483109610104997
2007-09-13,54908.0,1.8954999446868896,-0.9489602194761122
2007-09-14,54671.0,1.8899999856948853,-0.9498943502957018
2007-09-17,54341.0,1.9084999561309814,-0.9511561987581267
2007-09-18,56666.0,1.8975000381469727,-0.9521608409425271
2007-09-19,57264.0,1.8665000200271606,-0.9530386168258232
2007-09-20,56906.0,1.8528000116348267,-0.953671295672115
2007-09-21,57799.0,1.8569999933242798,-0.9544866688773227
2007-09-24,58719.0,1.864300012588501,-0.9553043194186688
